Chr1	0	500000	5
Chr1	500000	1000000	1
Chr1	1000000	1500000	4
Chr1	1500000	2000000	4
Chr1	2000000	2500000	0
Chr1	2500000	3000000	1
Chr1	3000000	3500000	0
Chr1	3500000	4000000	3
Chr1	4000000	4500000	6
Chr1	4500000	5000000	0
Chr1	5000000	5500000	1
Chr1	5500000	6000000	1
Chr1	6000000	6500000	2
Chr1	6500000	7000000	3
Chr1	7000000	7500000	4
Chr1	7500000	8000000	7
Chr1	8000000	8500000	0
Chr1	8500000	9000000	0
Chr1	9000000	9500000	1
Chr1	9500000	10000000	1
Chr1	10000000	10500000	0
Chr1	10500000	11000000	5
Chr1	11000000	11500000	4
Chr1	11500000	12000000	4
Chr1	12000000	12500000	4
Chr1	12500000	13000000	1
Chr1	13000000	13500000	5
Chr1	13500000	14000000	4
Chr1	14000000	14500000	3
Chr1	14500000	15000000	1
Chr1	15000000	15500000	1
Chr1	15500000	16000000	6
Chr1	16000000	16500000	7
Chr1	16500000	17000000	4
Chr1	17000000	17500000	4
Chr1	17500000	18000000	5
Chr1	18000000	18500000	2
Chr1	18500000	19000000	2
Chr1	19000000	19500000	9
Chr1	19500000	20000000	7
Chr1	20000000	20500000	4
Chr1	20500000	21000000	1
Chr1	21000000	21500000	3
Chr1	21500000	22000000	8
Chr1	22000000	22500000	6
Chr1	22500000	23000000	9
Chr1	23000000	23500000	4
Chr1	23500000	24000000	3
Chr1	24000000	24500000	11
Chr1	24500000	25000000	7
Chr1	25000000	25500000	4
Chr1	25500000	26000000	2
Chr1	26000000	26500000	5
Chr1	26500000	27000000	1
Chr1	27000000	27500000	6
Chr1	27500000	28000000	5
Chr1	28000000	28500000	0
Chr1	28500000	29000000	2
Chr1	29000000	29500000	9
Chr1	29500000	30000000	4
Chr1	30000000	30500000	4
Chr1	30500000	31000000	1
Chr1	31000000	31500000	4
Chr1	31500000	32000000	0
Chr1	32000000	32500000	5
Chr1	32500000	33000000	12
Chr1	33000000	33500000	9
Chr1	33500000	34000000	14
Chr1	34000000	34500000	7
Chr1	34500000	35000000	1
Chr1	35000000	35500000	2
Chr1	35500000	36000000	0
Chr1	36000000	36500000	1
Chr1	36500000	37000000	0
